filename,year,month,date,aged_population,total_population,aging_rate
연령별인구현황(2020.7월).xlsx,2020,7,2020-07-01,70316,658280,0.10681776751534301
연령별인구현황(2021.7월).xlsx,2021,7,2021-07-01,74442,657584,0.11320530913160905
연령별인구현황(2022.07월).xlsx,2022,7,2022-07-01,78872,657418,0.11997237678311211
연령별인구현황(2023.7월).xlsx,2023,7,2023-07-01,83592,658694,0.12690566484589202
연령별인구현황(2024.7월).xlsx,2024,7,2024-07-01,89589,658537,0.13604246989918561
연령별인구현황(2025.7월).xlsx,2025,7,2025-07-01,97029,662677,0.1464197489878176
